shot,CapCam1.png,CapCam3.png,CapCam4.png,CapCam5.png,RailGap.png
019000,0,0,0,0,0
019001,0,0,0,0,0
019002,0,0,0,0,0
019003,0,0,0,0,0
019015,0,0,0,0,0
019016,0,0,0,0,0
019017,0,0,0,0,0
019018,0,0,0,0,0
019019,0,0,0,0,0
019020,0,0,0,0,0
019021,0,0,0,0,0
019022,0,0,0,0,0
019023,0,0,0,0,0
019024,0,0,0,0,0
019025,0,0,0,0,0
019026,0,0,0,0,0
019027,0,0,0,0,0
019028,0,0,0,0,0
019029,0,0,0,0,0
019031,0,0,0,0,0
019032,0,0,0,0,0
019033,0,0,0,0,0
019034,0,0,0,0,0
019035,0,0,0,0,0
019039,0,0,0,0,0
019040,0,0,0,0,0
019041,0,0,0,0,0
019042,0,0,0,0,0
019043,0,0,0,0,0
019044,0,0,0,0,0
019045,0,0,0,0,0
019046,0,0,0,0,0
019047,0,0,0,0,0
019072,0,0,0,0,0
019073,0,0,0,0,0
019074,0,0,0,0,0
019075,0,0,0,0,0
019076,0,0,0,0,0
019077,0,0,0,0,0
019078,0,0,0,0,0
019079,0,0,0,0,0
019080,0,0,0,0,0
019081,0,0,0,0,0
019082,0,0,0,0,0
019083,0,0,0,0,0
019084,0,0,0,0,0
019085,0,0,0,0,0
019086,0,0,0,0,0
019087,0,0,0,0,0
019088,0,0,0,0,0
019089,0,0,0,0,0
019090,0,0,0,0,0
019091,0,0,0,0,0
019092,0,0,0,0,0
019093,0,0,0,0,0
019094,0,0,0,0,0
019095,1,0,0,0,0
019101,0,0,0,0,0
019102,0,0,0,0,0
019103,0,0,0,0,0
019106,0,0,0,0,0
019107,0,0,0,0,0
019108,0,0,0,0,0
019109,0,0,0,0,0
019110,0,0,0,0,0
019111,0,0,0,0,0
019112,0,0,0,0,0
019113,0,0,0,0,0
019115,0,0,0,0,0
019116,0,0,0,0,0
019117,0,0,0,0,0
019118,0,0,0,0,0
019119,0,0,0,0,0
019120,0,0,0,0,0
019121,0,0,0,0,0
019122,0,0,0,0,0
019123,0,0,0,0,0
019124,0,0,0,0,0
019125,1,0,0,0,0
019126,0,0,0,0,0
019146,0,0,0,0,0
019147,0,0,0,0,0
019148,0,0,0,0,0
019149,0,0,0,0,0
019150,0,0,0,0,0
019151,0,0,0,0,0
019152,0,0,0,0,0
019153,0,0,0,0,0
019154,0,0,0,0,0
019155,0,0,0,0,0
019159,0,0,0,0,0
019160,0,0,0,0,0
019161,0,0,0,0,0
019162,0,0,0,0,0
019163,0,0,0,0,0
019164,0,0,0,0,0
019167,0,0,0,0,0
019168,0,0,0,0,0
019169,0,0,0,0,0
019170,0,0,0,0,0
019171,0,0,0,0,0
019172,0,0,0,0,0
019173,0,0,0,0,0
019174,0,0,0,0,0
019175,0,0,0,0,0
019176,0,0,0,0,0
019177,0,0,0,0,0
019178,0,0,0,0,0
019179,0,0,0,0,0
019180,0,0,0,0,0
019181,0,0,0,0,0
019182,0,0,0,0,0
019183,0,0,0,0,0
019184,1,0,0,0,0
019185,0,0,0,0,0
019186,0,0,0,0,0
019187,0,0,0,0,0
019188,0,0,0,0,0
019189,0,0,0,0,0
019190,0,0,0,0,0
019191,0,0,0,0,0
019192,0,0,0,0,0
019193,0,0,0,0,0
019194,0,0,0,0,0
019195,0,0,0,0,0
019196,0,0,0,0,0
019197,0,0,0,0,0
019198,0,0,0,0,0
019199,0,0,0,0,0
019200,0,0,0,0,0
019201,0,0,0,0,0
019202,0,0,0,0,0
019203,0,0,0,0,0
019204,0,0,0,0,0
019205,0,0,0,0,0
019206,0,0,0,0,0
019207,0,0,0,0,0
019208,0,0,0,0,0
019209,0,0,0,0,0
019210,0,0,0,0,0
019211,0,0,0,0,0
019212,0,0,0,0,0
019213,0,0,0,0,0
019214,0,0,0,0,0
019215,0,0,0,0,0
019216,0,0,0,0,0
019217,0,0,0,0,0
019218,0,0,0,0,0
019219,0,0,0,0,0
019220,0,0,0,0,0
019221,0,0,0,0,0
019222,0,0,0,0,0
019223,0,0,0,0,0
019224,0,0,0,0,0
019225,0,0,0,0,0
019226,0,0,0,0,0
019227,0,0,0,0,0
019228,0,0,0,0,0
019229,0,0,0,0,0
019230,0,0,0,0,0
019231,0,0,0,0,0
019232,0,0,0,0,0
019233,0,0,0,0,0
019234,0,0,0,0,0
019235,0,0,0,0,0
019236,0,0,0,0,0
019237,0,0,0,0,0
019238,0,0,0,0,0
019239,0,0,0,0,0
019240,0,0,0,0,0
019241,0,0,0,0,0
019242,0,0,0,0,0
019243,0,0,0,0,0
019244,0,0,0,0,0
019245,0,0,0,0,0
019246,0,0,0,0,0
019247,0,0,0,0,0
019248,0,0,0,0,0
019249,0,0,0,0,0
019250,0,0,0,0,0
019251,0,0,0,0,0
019252,0,0,0,0,0
019253,0,0,0,0,0
019254,0,0,0,0,0
019255,0,0,0,0,0
019256,0,0,0,0,0
019257,0,0,0,0,0
019258,0,0,0,0,0
019259,1,0,0,0,0
019260,0,0,0,0,0
019261,0,0,0,0,0
019262,0,0,0,0,0
019263,0,0,0,0,0
019264,0,0,0,0,0
019267,0,0,0,0,0
019268,0,0,0,0,0
019269,0,0,0,0,0
019270,0,0,0,0,0
019271,0,0,0,0,0
019272,0,0,0,0,0
019273,0,0,0,0,0
019274,0,0,0,0,0
019275,0,0,0,0,0
019276,0,0,0,0,0
019277,0,0,0,0,0
019278,0,0,0,0,0
019279,0,0,0,0,0
019280,0,0,0,0,0
019281,0,0,0,0,0
019282,0,0,0,0,0
019285,0,,,,
019286,0,,,,
019287,0,0,,,
019288,0,0,,,
019289,0,0,,,
019290,0,,,,
019291,0,0,0,0,0
019292,0,0,0,0,0
019293,0,0,0,0,0
019294,0,0,0,0,0
019295,0,0,0,0,0
019296,0,0,0,0,0
019297,0,0,0,0,0
019298,0,0,0,0,0
019299,0,0,0,0,0
019300,0,0,0,0,0
019301,0,0,0,0,0
019302,0,0,0,0,0
019303,0,0,0,0,0
019304,0,0,0,0,0
019305,0,0,0,0,0
019306,0,0,0,0,0
019307,0,0,0,0,0
019308,0,0,0,0,0
019309,0,0,0,0,0
019310,1,0,0,0,0
019311,0,0,0,0,0
019312,0,0,0,0,0
019313,0,0,0,0,0
019315,0,0,0,0,0
019316,0,0,0,0,0
019317,0,0,0,0,0
019318,0,0,0,0,0
019319,0,0,0,0,0
019320,0,0,0,0,0
019321,0,0,0,0,0
019322,0,0,0,0,0
019323,0,0,0,0,0
019324,0,0,0,0,0
019325,0,0,0,0,0
019326,0,0,0,0,0
019327,0,0,0,0,0
019328,1,0,0,0,0
019329,0,0,0,0,0
019330,1,0,0,0,0
019331,0,0,0,0,0
019332,0,0,0,0,0
019333,0,0,0,0,0
019334,0,0,0,0,0
019335,1,0,0,0,0
019336,0,0,0,0,0
019337,0,0,0,0,0
019338,0,0,0,0,0
019339,0,,,,
019340,1,0,0,0,0
019341,0,0,0,0,0
019342,0,0,0,0,0
019343,0,0,0,0,0
019344,0,0,0,0,0
019345,0,0,0,0,0
019346,0,0,0,0,0
019347,0,0,0,0,0
019348,0,0,0,0,0
019349,0,0,0,0,0
019350,0,0,0,0,0
019351,0,0,0,0,0
019352,0,0,0,0,0
019354,0,0,0,0,0
019355,1,0,0,0,0
019356,0,0,0,0,0
019357,0,0,0,0,0
019358,0,0,0,0,0
019359,0,0,0,0,0
019360,0,0,0,0,0
019361,0,0,0,0,0
019362,0,0,0,0,0
019363,0,0,0,0,0
019365,0,0,0,0,0
019366,0,0,0,0,0
019367,0,0,0,0,0
019368,0,0,0,0,0
019369,0,0,0,0,0
019370,0,0,0,0,0
019371,0,0,0,0,0
019372,0,0,0,0,0
019373,0,0,0,0,0
019374,0,0,0,0,0
019375,0,0,0,0,0
019376,0,0,0,0,0
019377,0,0,0,0,0
019378,0,0,0,0,0
019379,0,0,0,0,0
019380,0,0,0,0,0
019381,0,0,0,0,0
019382,0,0,0,0,0
019383,1,0,0,0,0
019384,0,0,0,0,0
019385,0,0,0,0,0
019386,0,0,0,0,0
019387,0,0,0,0,0
019388,0,0,0,0,0
019389,0,0,0,0,0
019390,0,0,0,0,0
019391,0,0,0,0,0
019392,0,0,0,0,0
019393,0,0,0,0,0
019394,0,0,0,0,0
019395,0,0,0,0,0
019396,0,0,0,0,0
019397,0,0,0,0,0
019398,0,0,0,0,0
019399,0,0,0,0,0
019400,0,0,0,0,0
019401,0,0,0,0,0
019402,0,0,0,0,0
019403,0,0,0,0,0
019404,0,0,0,0,0
019405,0,0,0,0,0
019406,0,0,0,0,0
019407,0,0,0,0,0
019408,0,0,0,0,0
019409,0,0,0,0,0
019410,0,0,0,0,0
019411,0,0,0,0,0
019412,0,0,0,0,0
019413,0,0,0,0,0
019414,0,0,0,0,0
019415,0,0,0,0,0
019416,0,0,0,0,0
019417,0,0,0,0,0
019418,0,0,0,0,0
019419,0,0,0,0,0
019420,0,0,0,0,0
019421,0,0,0,0,0
019422,0,0,0,0,0
019423,0,0,0,0,0
019424,0,0,0,0,0
019425,0,0,0,0,0
019426,0,0,0,0,0
019427,0,0,0,0,0
019428,0,0,0,0,0
019429,0,0,0,0,0
019430,0,0,0,0,0
019431,0,0,0,0,0
019432,0,0,0,0,0
019433,0,0,0,0,0
019434,0,0,0,0,0
019435,0,0,0,0,0
019437,0,0,0,0,0
019438,0,0,0,0,0
019439,0,0,0,0,0
019440,0,0,0,0,0
019441,0,0,0,0,0
019442,0,0,0,0,0
019443,0,0,0,0,0
019444,0,0,0,0,0
019445,0,0,0,0,0
019446,0,0,0,0,0
019448,0,0,0,0,0
019449,0,0,0,0,0
019450,1,0,0,0,0
019451,0,0,0,0,0
019452,0,0,0,0,0
019453,0,0,0,0,0
019454,0,0,0,0,0
019455,0,0,0,0,0
019456,0,0,0,0,0
019457,0,0,0,0,0
019458,0,0,0,0,0
019459,0,0,0,0,0
019460,0,0,0,0,0
019461,0,0,0,0,0
019462,0,0,0,0,0
019463,0,0,0,0,0
019464,0,0,0,0,0
019465,0,0,0,0,0
019466,1,0,0,0,0
019467,0,0,0,0,0
019468,0,0,0,0,0
019469,1,0,0,0,1
019470,0,0,0,0,0
019471,0,0,0,0,0
019472,0,0,0,0,0
019473,0,0,0,0,0
019474,0,0,0,0,0
019475,0,0,0,0,0
019476,0,0,0,0,0
019477,0,0,0,0,0
019478,0,0,0,0,0
019479,0,0,0,0,0
019480,0,0,0,0,0
019481,0,0,0,0,0
019483,0,0,0,0,0
019484,0,0,0,0,0
019485,0,0,0,0,0
019486,0,0,0,0,0
019487,0,0,0,0,0
019488,0,0,0,0,0
019489,0,0,0,0,0
019490,0,0,0,0,0
019491,0,0,0,0,0
019492,0,0,0,0,0
019493,0,0,0,0,0
019494,0,0,0,0,0
019495,0,0,0,0,0
019496,0,0,0,0,0
019497,0,0,0,0,0
019498,0,0,0,0,0
019499,0,0,0,0,0
019500,0,0,0,0,0
019501,0,0,0,1,0
019502,0,0,0,0,0
019503,0,0,0,0,0
019504,0,0,0,0,0
019505,0,0,0,0,0
019506,0,0,0,0,0
019507,0,0,0,0,0
019508,0,0,0,0,0
019509,0,0,0,0,0
019510,0,0,0,0,0
019511,0,0,0,0,0
019512,0,0,0,0,0
019513,0,0,0,0,0
019514,0,0,0,0,0
019515,0,0,0,0,0
019516,0,0,0,0,0
019517,0,0,0,0,0
019518,0,0,0,0,0
019519,0,0,0,0,0
019520,0,0,0,0,0
019521,0,0,0,0,0
019522,0,0,0,0,0
019523,0,0,0,0,0
019524,0,0,0,0,0
019525,0,0,0,0,0
019526,0,0,0,0,0
019542,0,0,0,0,0
019543,0,0,0,0,0
019544,0,0,0,0,0
019545,0,0,0,0,0
019546,0,0,0,0,0
019547,0,0,0,0,0
019548,0,0,0,0,0
019549,1,0,0,0,0
019550,0,0,0,0,0
019551,0,0,0,0,0
019552,0,0,0,0,0
019553,0,0,0,0,0
019554,0,0,0,0,0
019555,1,0,0,0,0
019556,0,0,0,0,0
019557,0,0,0,0,0
019558,0,0,0,0,0
019559,0,0,0,0,0
019560,0,0,0,0,0
019561,0,0,0,0,0
019562,0,0,0,0,0
019563,1,0,0,0,0
019564,0,0,0,0,0
019565,0,0,0,0,0
019566,0,0,0,0,0
019567,0,0,0,0,0
019568,0,0,0,0,0
019569,0,0,0,0,0
019570,0,0,0,0,0
019571,0,0,0,0,0
019572,0,0,0,0,0
019573,0,0,0,0,0
019574,0,0,0,0,0
019575,0,0,0,0,0
019576,1,0,0,0,0
019577,0,0,0,0,0
019578,0,0,0,0,0
019579,0,0,0,0,0
019580,0,0,0,0,0
019581,0,0,0,0,0
019582,0,0,0,0,0
019583,0,0,0,0,0
019584,0,0,0,0,0
019585,0,0,0,0,0
