shot,SnapLowerForm.png,SnapSustain1.png,SnapSustain2.png,SnapSustain3.png,SnapUpperForm.png
000558,,,,0,
000563,0,,,0,0
000564,0,,,0,0
000565,0,0,0,1,0
000566,1,1,0,1,0
000567,0,1,0,1,0
000568,1,1,0,1,0
000569,1,1,0,1,0
000570,1,1,0,1,0
000571,1,1,1,1,0
000572,1,1,0,0,0
000573,1,1,0,1,0
000574,1,1,1,1,1
000575,1,1,1,1,0
000576,0,1,0,1,0
000577,1,1,1,1,1
000578,1,1,0,1,0
000579,1,1,1,1,1
000580,1,1,1,1,1
000581,1,1,1,1,1
000582,1,1,0,1,0
000583,1,1,0,1,0
000584,1,1,0,1,0
000585,1,1,1,1,1
000586,1,1,0,1,0
000587,1,1,0,1,0
000588,1,1,0,1,0
000589,1,1,1,1,0
000590,1,1,0,1,0
000591,1,1,1,1,1
000592,1,1,1,1,1
000593,1,1,1,1,0
000594,1,1,1,1,1
000595,1,1,0,1,0
000596,1,1,0,1,0
000597,1,1,0,1,0
000598,1,1,0,1,1
000599,1,1,0,1,0
000600,1,1,0,1,0
000601,1,1,0,1,0
000602,1,1,0,1,0
000603,1,1,1,1,1
000604,1,1,0,1,0
000605,1,1,0,1,0
000606,1,1,0,1,0
000607,1,1,0,1,0
000608,1,1,0,1,1
000609,1,1,1,1,0
000610,1,1,0,1,0
000611,1,1,0,1,0
000612,1,1,1,1,0
000613,1,1,0,0,0
000614,1,1,0,1,0
000615,1,1,0,0,0
000616,1,1,0,1,0
000617,1,1,0,1,0
000618,1,1,0,1,0
000619,1,1,0,0,0
000620,1,1,0,0,0
000621,1,1,0,1,0
000622,1,1,0,1,0
000623,1,1,0,1,0
000624,1,1,0,1,0
000625,1,1,0,1,0
000626,1,1,0,1,0
000627,1,1,0,1,0
000628,1,1,0,0,0
000629,1,1,0,1,0
000630,1,1,0,1,0
000631,1,1,1,1,1
000730,1,0,0,1,0
000732,1,0,1,1,0
000733,1,0,1,1,0
000734,1,1,1,1,0
000735,0,1,1,1,0
000736,0,1,1,1,0
000737,0,1,1,1,0
000738,0,1,1,1,0
000739,0,1,1,1,0
000740,0,1,1,1,0
000741,0,1,1,1,0
000742,0,1,1,1,0
000743,1,1,1,1,0
000744,0,1,1,1,0
000745,0,1,1,1,0
000746,0,1,1,1,0
000747,0,1,1,1,0
000748,0,1,1,1,0
000749,0,1,1,1,0
000750,0,1,1,1,0
000751,0,1,1,1,0
000752,0,1,1,1,0
000753,0,1,1,1,0
000754,0,1,1,1,0
000755,0,1,1,1,0
000756,0,1,1,1,0
000757,0,1,1,1,0
000758,0,1,1,1,0
000759,0,1,1,1,0
000760,0,1,1,1,0
000761,0,1,1,1,0
000762,0,1,1,1,0
000763,0,1,1,1,0
000764,0,1,1,1,0
000765,0,1,1,1,0
000766,0,1,1,1,0
000767,0,1,1,1,0
000768,0,1,1,1,0
000769,0,1,1,1,0
000770,0,1,1,1,0
000771,0,1,1,1,0
000772,0,1,1,1,0
000773,1,1,1,1,0
000774,0,1,1,1,0
000775,0,1,1,1,0
000776,0,1,1,1,0
000777,0,1,1,1,0
000778,0,1,1,1,0
000779,0,1,1,1,0
000780,0,1,1,1,0
000781,0,1,1,1,0
000782,0,1,1,1,0
000783,0,1,1,1,0
000784,0,1,1,1,0
000785,0,1,1,1,0
000786,0,1,1,1,0
000787,0,1,1,1,0
000788,0,1,1,1,0
000789,0,1,1,1,0
000790,0,1,1,1,0
000791,0,1,1,1,0
000792,0,1,1,1,0
000793,0,1,1,1,0
000794,0,1,1,1,0
000795,0,1,1,1,0
000796,0,1,1,1,0
000797,0,1,1,1,0
000798,0,1,1,1,0
000799,0,1,1,1,0
000800,1,1,1,1,0
000801,1,1,1,1,0
000802,0,1,1,1,0
000803,0,1,1,1,0
000804,0,1,1,1,0
000805,0,1,1,1,0
000806,0,1,1,1,0
000807,1,1,1,1,0
000808,0,1,1,1,0
000809,0,1,1,1,0
000810,0,1,1,1,0
000811,0,1,1,1,0
000812,0,1,1,1,0
000813,0,1,1,1,0
000814,0,1,1,1,0
000815,0,1,1,1,0
000816,0,1,1,1,0
000817,0,1,1,1,0
000818,0,1,1,1,0
000819,1,1,1,1,0
000820,0,1,1,1,0
000821,0,1,1,1,0
000822,0,1,1,1,0
000823,0,1,1,1,0
000824,1,1,1,1,0
000825,1,1,1,1,0
000826,0,1,1,1,1
000827,0,1,1,1,1
000828,1,1,1,1,0
000829,1,1,1,1,0
000830,1,1,1,1,0
000831,1,1,1,1,0
000832,1,1,1,1,0
000833,0,1,1,1,0
000834,1,1,1,1,1
000835,0,1,1,1,0
000836,0,1,1,1,0
000837,1,1,1,1,0
000838,1,1,1,1,0
000839,1,1,1,1,0
000840,0,1,1,1,0
000841,0,1,1,1,0
000842,1,1,1,1,0
000843,1,1,1,1,0
000844,1,1,1,1,0
000845,1,1,1,1,0
000846,0,1,1,1,0
000847,1,1,1,1,0
000848,1,1,1,1,1
000849,0,1,1,1,1
000850,1,1,1,1,0
000851,1,1,1,1,0
000852,0,1,1,1,0
000853,1,1,1,1,0
000854,0,1,1,1,0
000855,1,1,1,1,0
000856,1,1,1,1,0
000857,1,1,1,1,0
000858,0,1,1,1,0
000859,0,1,1,1,0
000860,0,1,1,1,0
000861,0,1,1,1,0
000862,1,1,1,1,0
000863,1,1,1,1,0
000864,1,1,1,1,0
000865,1,1,1,1,0
000866,0,1,1,1,0
000867,1,1,1,1,0
000868,1,1,1,1,0
000869,0,1,1,1,0
000870,0,1,1,1,0
000871,0,1,1,1,1
000872,0,1,1,1,0
000873,1,1,1,1,0
000874,1,1,1,1,0
000875,0,1,1,1,0
000876,0,1,1,1,0
000877,1,1,1,1,0
000878,1,1,1,1,0
000879,1,1,1,1,0
000880,1,1,1,1,0
000881,1,1,1,1,0
000882,1,1,1,1,0
000883,1,1,1,1,0
000884,1,1,1,1,0
000885,1,1,1,1,0
000886,1,1,1,1,0
000887,1,1,1,1,0
000888,1,1,1,1,0
000889,1,1,1,1,0
000890,1,1,1,1,0
000891,0,1,1,1,0
000892,0,1,1,1,0
000893,1,1,1,1,0
000894,0,1,1,1,0
000895,0,1,1,1,0
000896,0,1,1,1,0
000897,0,1,1,1,0
000898,0,1,1,1,0
000899,0,1,1,1,0
000900,0,1,1,1,0
000901,1,1,1,1,0
000902,0,1,1,1,0
000903,0,1,1,1,0
000904,1,1,1,1,0
000905,1,1,1,1,0
000906,0,1,1,1,0
000907,1,1,1,1,0
000908,0,1,1,1,0
000909,1,1,1,1,0
000910,0,0,0,1,0
000911,0,0,0,1,0
000912,0,0,0,0,0
000913,0,0,1,1,0
000914,0,0,0,1,0
000915,1,0,1,1,0
000916,1,0,1,1,0
000917,1,0,1,1,0
000918,1,0,0,1,0
000919,1,0,0,1,0
000920,1,0,1,1,1
000921,1,0,1,1,0
000922,1,0,1,1,0
000923,1,0,0,1,0
000924,1,0,0,1,0
000925,1,0,1,1,0
000926,1,0,0,1,0
000927,1,0,1,1,0
000928,1,0,0,1,0
000929,1,0,1,1,0
000930,1,0,1,1,0
000931,1,0,1,1,0
000932,1,0,1,1,0
000933,1,0,1,1,0
000934,1,0,1,1,0
000935,1,0,1,1,0
000936,1,0,1,1,0
000937,1,0,1,1,0
000938,1,0,1,1,0
000939,1,0,0,1,0
000940,1,0,1,1,0
